Target Translation;English;French;German;Italian;Portuguese;Spanish
Uploaded File;Uploaded File;Fichier téléchargé;Hochgeladene Datei;Il file caricato;Arquivo Carregado;Archivo cargado
User;User;Utilisateur;Benutzer;Utente;Do utilizador;Usuario
User added !!!;User added !!!;Utilisateur ajouté!;Benutzer hinzugefügt !!!;aggiunto utente !!!;Usuário adicionado !!!;Usuario agregado!
User Can not be removed;User Can not be removed;Utilisateur Ne peut pas être supprimé;Benutzer Kann nicht entfernt werden;L'utente non può essere rimosso;Usuário Não pode ser removido;Usuario No se puede eliminar
User Granted !!!;User Granted !!!;Utilisateur Accordé !!!;Benutzer gewährt !!!;Concesso utente !!!;Usuário Concedido !!!;Usuario Concedido !!!
User Login;User Login;Utilisateur en ligne;Benutzer-Anmeldung;Login utente;Login de usuário;Inicio de sesión de usuario
User Name;User Name;Nom d'utilisateur;Benutzername;Nome utente;Nome do usuário;Nombre de usuario
User Preferences;User Preferences;Préférences de l'utilisateur;Nutzerpreferenzen;Preferenze utente;Preferências de usuário;Preferencias de usuario
User removed !!!;User removed !!!;Utilisateur supprimé!;Benutzer wurde entfernt !!!;rimosso utente !!!;Usuário removido !!!;Usuario eliminado!
User Report;User Report;Rapport utilisateur;Benutzerbericht;Relazione dell'utente;Relatório do Usuário;Informe del usuario
User Ungranted !!!;User Ungranted !!!;Utilisateur Ungranted !!!;Benutzer ungranted !!!;User 'insicurezza !!!;Usuário Ungranted !!!;Usuario Ungranted !!!
User:;User:;Utilisateur:;Benutzer:;Utente:;Do utilizador:;Usuario:
Username;Username;Nom d'utilisateur;Benutzername;Nome utente;Nome de usuário;Nombre de usuario
Users & Roles;Users & Roles;Utilisateurs et rôles;Benutzer & Rollen;Utenti e ruoli;Usuários e Funções;Usuarios y funciones
Users Charts;Users Charts;Graphiques Utilisateurs;Benutzer-Charts;utenti Grafici;Gráficos de usuários;Gráficos de Usuarios
Value to Search;Value to Search;Valeur à la recherche;Wert zu suchen;Valore da cercare;Valor à pesquisa;Valor a buscar
Version;Version;Version;Version;Versione;Versão;Versión
Version:;Version:;Version:;Version:;Versione:;Versão:;Versión:
View SVG;View SVG;Voir SVG;Ansicht SVG;vista SVG;Ver SVG;Ver SVG
visa checker;visa checker;Vérificateur de visa;Visumprüfer;checker visto;Verificador de vistos;Buscador de visas
visa officer;visa officer;Agent / agente des visas;Visum Offizier;ufficiale visto;Oficial de vistos;Oficial de visa
visa-appliance;visa-appliance;Appareil-visas;Visa-Gerät;visa-appliance;Aparelho de visto;Aparato de visado
XPDL import is about to start. If succeed the imported Process/es Definition/s will be shown. If fail an error report will be shown.;XPDL import is about to start. If succeed the imported Process/es Definition/s will be shown. If fail an error report will be shown.;L'importation XPDL est sur le point de démarrer. En cas de réussite, les Process / es Définition / s importés seront affichés. En cas d'échec, un rapport d'erreur s'affiche.;XPDL-Import zu starten. Wenn erfolgreich, werden die importierten Process / es-Definitionen / s angezeigt. Falls nicht, wird ein Fehlerbericht angezeigt.;XPDL importazione sta per iniziare. Se riuscirà importato definizione di processo / es / s saranno mostrati. Se fallire verrà mostrato un rapporto di errore.;XPDL importação está prestes a começar. Se for bem sucedido, o Process / es Definition / s importado será mostrado. Se falhar, um relatório de erro será mostrado.;La importación de XPDL está a punto de comenzar. Si tiene éxito, se mostrarán los Procesos importados / es Definición / s. Si falla, se mostrará un informe de error.
XPDL Upload Form;XPDL Upload Form;Formulaire de téléchargement XPDL;XPDL Formular hochladen;XPDL Carica Form;Formulário de Upload XPDL;Formulario de carga XPDL
Yes;Yes;Oui ;ja ;sì ;sim ;Sí 
